ID;HS_num;Exposition;LAI;SEL;Height;BHD
CHHSN1;1;N;3,617;0,1913;320;89
CHHSS1;1;S;2,353;0,2362;320;89
CHHSN2;2;N;2,87;0,2399;;
CHHSS2;2;S;2,159;0,2016;;
CHHSN3;3;N;3,618;0,2814;;
CHHSS3;3;S;3,808;0,2491;;
CHHSN4;4;N;2,491;0,1629;;
CHHSS4;4;S;2,22;0,2203;;
CHHSN5;5;N;2,635;0,2223;250;93
CHHSS5;5;S;4,727;0,6991;250;93
CHHSN6;6;N;3,056;0,1921;240;106
CHHSS6;6;S;2,483;0,378;240;106
CHHSN7;7;N;4,669;0,5097;280;103
CHHSS7;7;S;3,934;0,576;280;103
CHHSN8;8;N;3,512;0,2854;280;108
CHHSS8;8;S;4,282;0,1948;280;108
CHHSN9;9;N;2,557;0,5282;255;79
CHHSS9;9;S;2,746;0,3609;255;79
CHHSN10;10;N;2,099;0,2567;260;90
CHHSS10;10;S;3,065;0,2677;260;90
